filename,model,transcript,latency,locality,ground_truth,condition,wer,locality_hit
01_koramangala_quiet.wav,deepgram,हाँ भाई मैं एक और बंगला में रखता हूं,3.045,Koramangala,haan bhai main koramangala mein rehta hoon,quiet,1.2857142857142858,0
02_indiranagar_quiet.wav,deepgram,मैं नगर इंदिरा नगर के पास है,2.855,Indiranagar,mera ghar indiranagar ke paas hai,quiet,1.1666666666666667,0
03_whitefield_quiet.wav,deepgram,मैं whitefield से हूँ वहां से daily travel करता हूँ,3.232,Whitefield,main whitefield se hoon wahan se daily travel karta hoon,quiet,0.7,1
04_electroniccity_quiet.wav,deepgram,electronic city में यह company में काम करता था पहले,3.211,Electronic City,electronic city mein ek company mein kaam karta tha pehle,quiet,0.7,1
05_marathahalli_quiet.wav,deepgram,मरथल area में room लिया है मैंने,2.898,Marathahalli,marathahalli area mein room liya hai maine,quiet,0.7142857142857143,0
06_jayanagar_noise.wav,deepgram,जायानगर में रखता हूँ काफी अच्छा area है,2.227,Jayanagar,jayanagar mein rehta hoon kafi accha area hai,noise,0.875,0
07_rajajinagar_noise.wav,deepgram,राजा जी नगर से home में बहुत दोना ही है,2.336,Rajajinagar,rajajinagar se hoon main bahut door nahi hai,noise,1.25,0
08_hebbal_noise.wav,deepgram,hamble ke paas ek factory me काम करता हूँ,2.594,Hebbal,hebbal ke paas ek factory mein kaam karta hoon,noise,0.5555555555555556,0
09_yelahanka_noise.wav,deepgram,ये अल्लाह का मैं मेरे बाये रहता हूँ मैं भी वही हूँ,2.302,Yelahanka,yelahanka mein mera bhai rehta hai main bhi wahi hoon,noise,1.2,0
10_banashankari_noise.wav,deepgram,माना शंकर area में room दुंद रहा हुआ अभी,2.74,Banashankari,banashankari area mein room dhundh raha hoon abhi,noise,0.875,0
11_hsrlayout_rushed.wav,deepgram,हिटलर लेट में हूं मैं हां हां वही रहता हूं,2.212,HSR Layout,hsr layout mein hoon main haan haan wahi rehta hoon,rushed,1.0,0
12_btmlayout_rushed.wav,deepgram,कि बेटियों लिए अच्छे हूं क्या job है वहां,2.032,BTM Layout,btm layout se hoon kya job hai wahan,rushed,1.0,0
13_majestic_rushed.wav,deepgram,मैं justice के पास ही हूँ bus्टन के पीछे,2.861,Majestic,majestic ke paas hi hoon bus stand ke peeche,rushed,1.0,0
14_silkboard_rushed.wav,deepgram,सिल्क area में रहता हूं traffic बहुत होती है यहां,2.95,Silk Board,silk board area mein rehta hoon traffic bahut hoti hai yahan,rushed,0.8181818181818182,0
15_bellandur_rushed.wav,deepgram,बलिंदुर मे हूँ अभी हाँ confirm कर लो address,2.794,Bellandur,bellandur mein hoon abhi haan confirm kar lo address,rushed,0.7777777777777778,0
16_sarjapur_whisper.wav,deepgram,सरजापुर road पर रखता हूं office के पास है,2.259,Sarjapur,sarjapur road pe rehta hoon office ke paas hi hai,whisper,0.8,0
17_bommanahalli_whisper.wav,deepgram,मनाली में हूं हां वही का address दो,2.719,Bommanahalli,bommanahalli mein hoon haan wahi ka address dun,whisper,0.875,0
18_krpuram_whisper.wav,deepgram,a r पुरम से हूं मैं train से आता जाता हूं,3.03,KR Puram,kr puram se hoon main train se aata jaata hoon,whisper,1.0,0
19_peenya_whisper.wav,deepgram,पीनी industrial area के पास रहता हुआ,2.123,Peenya,peenya industrial area ke paas rehta hoon,whisper,0.7142857142857143,0
20_yeshwanthpur_whisper.wav,deepgram,यशवंतपुर में एक room में रहता हूं sharing basis पर,3.086,Yeshwanthpur,yeshwanthpur mein ek room mein rehta hoon sharing basis pe,whisper,0.7,0
01_koramangala_quiet.wav,whisper,"हां भाई, में एक ओर मंगला में रखता हूं",6.533,Koramangala,haan bhai main koramangala mein rehta hoon,quiet,1.2857142857142858,0
02_indiranagar_quiet.wav,whisper,मेरा गर इंड्रानागर के पास है,5.549,Indiranagar,mera ghar indiranagar ke paas hai,quiet,1.0,0
