filename,model,transcript,latency
01_koramangala_quiet.wav,deepgram,हाँ भाई मैं एक और बंगला में रखता हूं,3.045
02_indiranagar_quiet.wav,deepgram,मैं नगर इंदिरा नगर के पास है,2.855
03_whitefield_quiet.wav,deepgram,मैं whitefield से हूँ वहां से daily travel करता हूँ,3.232
04_electroniccity_quiet.wav,deepgram,electronic city में यह company में काम करता था पहले,3.211
05_marathahalli_quiet.wav,deepgram,मरथल area में room लिया है मैंने,2.898
06_jayanagar_noise.wav,deepgram,जायानगर में रखता हूँ काफी अच्छा area है,2.227
07_rajajinagar_noise.wav,deepgram,राजा जी नगर से home में बहुत दोना ही है,2.336
08_hebbal_noise.wav,deepgram,hamble ke paas ek factory me काम करता हूँ,2.594
09_yelahanka_noise.wav,deepgram,ये अल्लाह का मैं मेरे बाये रहता हूँ मैं भी वही हूँ,2.302
10_banashankari_noise.wav,deepgram,माना शंकर area में room दुंद रहा हुआ अभी,2.74
11_hsrlayout_rushed.wav,deepgram,हिटलर लेट में हूं मैं हां हां वही रहता हूं,2.212
12_btmlayout_rushed.wav,deepgram,कि बेटियों लिए अच्छे हूं क्या job है वहां,2.032
13_majestic_rushed.wav,deepgram,मैं justice के पास ही हूँ bus्टन के पीछे,2.861
14_silkboard_rushed.wav,deepgram,सिल्क area में रहता हूं traffic बहुत होती है यहां,2.95
15_bellandur_rushed.wav,deepgram,बलिंदुर मे हूँ अभी हाँ confirm कर लो address,2.794
16_sarjapur_whisper.wav,deepgram,सरजापुर road पर रखता हूं office के पास है,2.259
17_bommanahalli_whisper.wav,deepgram,मनाली में हूं हां वही का address दो,2.719
18_krpuram_whisper.wav,deepgram,a r पुरम से हूं मैं train से आता जाता हूं,3.03
19_peenya_whisper.wav,deepgram,पीनी industrial area के पास रहता हुआ,2.123
20_yeshwanthpur_whisper.wav,deepgram,यशवंतपुर में एक room में रहता हूं sharing basis पर,3.086
01_koramangala_quiet.wav,whisper,"हां भाई, में एक ओर मंगला में रखता हूं",6.533
02_indiranagar_quiet.wav,whisper,मेरा गर इंड्रानागर के पास है,5.549
03_whitefield_quiet.wav,whisper,"मैं whitefield से हूं, वहाँ से daily travel करता हूं",5.758
04_electroniccity_quiet.wav,whisper,एलेक्ट्रोनिक सिट्येमें एक कम्पनिमें काम करता था पैलें,7.671
05_marathahalli_quiet.wav,whisper,मरतली एरिया में रूम लिया है मैंने,5.853
06_jayanagar_noise.wav,whisper,जायानेगर में रहता हूं कफिया अच्छा एरिया है।,7.211
07_rajajinagar_noise.wav,whisper,राजाजीनगर से हूँ में बहुत दो नहीं हैं।,6.858
08_hebbal_noise.wav,whisper,हैबल की पास एक फाक्टरी में काम करता हूं,6.278
09_yelahanka_noise.wav,whisper,"यलाख का में मेरे बाई रता हूँ, में भी वही हूँ।",7.218
10_banashankari_noise.wav,whisper,मानाशंकरी एर्या में रूम दुन्थ रहा हुआबे,6.927
11_hsrlayout_rushed.wav,whisper,hedge sir layout में हुँ नहीं रहा हूँ,5.502
12_btmlayout_rushed.wav,whisper,"btm लेएज से हूं, क्या जाफ हैं वहां?",6.206
13_majestic_rushed.wav,whisper,मज़ेसेके पास ही हूँ बस्टन के पीचे,6.308
14_silkboard_rushed.wav,whisper,"silk port area में रहता हूं, traffic बहुत होट ही हैं यहां",6.347
15_bellandur_rushed.wav,whisper,बलंदूर में हु अबी। हाँ कान्फूम कर लो अड्रेस।,7.453
16_sarjapur_whisper.wav,whisper,सर्जपुर रोट पे रहता हूं। आफिस के पास हैं।,7.11
17_bommanahalli_whisper.wav,whisper,उमना हली में हूं। हां वही का अड्रेस दों।,6.864
18_krpuram_whisper.wav,whisper,"एहार पुरम से हूँ में, ट्रेन से आता जाता हूँ",6.992
19_peenya_whisper.wav,whisper,पीनी इंदिस्रेल एर्या के पास रहता हूं।,6.522
20_yeshwanthpur_whisper.wav,whisper,यश्मन्त्पुर में एक रूम में रहता हूं शारिंडेसिस पे,7.764
01_koramangala_quiet.wav,wav2vec2,हम बाए मैं कोर मगला मे रहता होँ,0.765
